,en,de
KEY_IN,IN,EIN
KEY_OUT,OUT,AUS
KEY_HOLD,HOLD,HALTEN
KEY_MINUTES,minutes,Minuten
KEY_SECONDS,seconds,Sekunden
KEY_MINUTE,minute,Minute
KEY_GUIDE,Let the animation guide your breath (breath in and out for 30 times or tab for next step),Lass die Animation Deinen Atem führen (atme 30 mal ein und aus oder berühre den Bildschirm um weiter zu gehen)
KEY_IN_AND_HOLD,Breath in and hold breath for 15 seconds or tab for next step, Atme ein und halte Deinen Atem für 15 Sekunden oder berühre den Bildschirm um weiter zu gehen
KEY_OUT_AND_HOLD,Breath out and hold your breath as long as you feel good (tab for next step),Atme aus und halte Deinen Atem so lange Du Dich gut fühlst oder berühre den Bildschirm um weiter zu gehen
KEY_DESC,"Atman is a Sanskrit word that refers to the Self or self-existent essence of human beings.
It's also similar to the German word: Atmen (breathing)

This app is based on the Wim Hof method.","Atman bedeutet im Sanskrit das Selbst, die unzerstörbare, ewige Essenz des Geistes.
Es ist auch der gleiche Wortstamm wie das Wort: Atem oder atmen.

Diese App basiert auf der Wim Hoff Methode."
KEY_TAP,tap to start,Berühre den Bildschirm um zu starten
